Código Postal,Asentamiento,Tipo de Asentamiento,Municipio,Estado,Ciudad,Clave de Oficina
31120,Paquime,Colonia,Chihuahua,Chihuahua,Chihuahua,31102
31120,Vallarta,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31102
31122,Hacienda de Santa Clara,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31132
31122,Puerta Rivera Real,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31132
31122,Las Lunas Residencial 2,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31132
31122,Puerta de San Miguel,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31132
31122,Monte Xenit,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31132
31122,Hacienda Río de la Plata,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31132
31122,Provincia de Santa Clara,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31132
31123,Diego Lucero,Colonia,Chihuahua,Chihuahua,Chihuahua,31102
31123,Complejo Industrial el Saucito,Zona industrial,Chihuahua,Chihuahua,Chihuahua,31102
31123,Bahías,Colonia,Chihuahua,Chihuahua,Chihuahua,31102
31123,Nuevo Paraíso,Colonia,Chihuahua,Chihuahua,Chihuahua,31102
31123,Ignacio Rodríguez,Colonia,Chihuahua,Chihuahua,Chihuahua,31102
31123,Felipe Ángeles,Colonia,Chihuahua,Chihuahua,Chihuahua,31102
31123,Lomas Universidad,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31102
31123,Jardines del Saucito,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31102
31123,Bahia de los Ángeles,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31102
31123,Rincón Soberano,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31102
31123,Barrancas,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31102
31123,Rincones del Pedregal,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31102
31123,Los Álamos,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31102
31123,Cumbres de San Francisco,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31102
31124,Misión Universidad,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31132
31124,Hacienda del Moro,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31132
31124,Maseru,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31132
31124,Varenna,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31132
31124,Rincón de la Mora,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31132
31124,Ignacio Allende,Colonia,Chihuahua,Chihuahua,Chihuahua,31132
31124,Constituyentes,Colonia,Chihuahua,Chihuahua,Chihuahua,31132
31124,Loma Dorada,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31132
31124,Unidad,Colonia,Chihuahua,Chihuahua,Chihuahua,31132
